Períodos	IPC_1	Petroleo_1	Cobre_6	Desempleo_12	IPC
2015-11-01	0,41	46,20	2,86	6,21	-0,03
2015-12-01	-0,03	42,70	2,65	6,21	0,01
2016-01-01	0,01	37,23	2,48	6,23	0,47
2016-02-01	0,47	31,54	2,31	6,22	0,28
2016-03-01	0,28	30,39	2,36	6,23	0,38
2016-04-01	0,38	37,77	2,37	6,36	0,33
2016-05-01	0,33	40,96	2,18	6,75	0,22
2016-06-01	0,22	46,73	2,10	6,67	0,45
2016-07-01	0,45	48,75	2,02	6,69	0,24
2016-08-01	0,24	44,69	2,08	6,56	0,05
2016-09-01	0,05	44,75	2,24	6,54	0,24
2016-10-01	0,24	45,20	2,20	6,45	0,17
2016-11-01	0,17	49,89	2,14	6,17	0,05
2016-12-01	0,05	45,57	2,10	5,87	-0,20
2017-01-01	-0,20	52,01	2,20	5,92	0,54
2017-02-01	0,54	52,51	2,16	6,05	0,24
2017-03-01	0,24	53,40	2,14	6,49	0,38
2017-04-01	0,38	49,58	2,15	6,61	0,24
2017-05-01	0,24	51,06	2,47	7,03	0,13
2017-06-01	0,13	48,50	2,57	7,02	-0,39
2017-07-01	-0,39	45,17	2,60	7,27	0,24
2017-08-01	0,24	46,65	2,70	7,07	0,20
2017-09-01	0,20	48,03	2,64	7,03	-0,15
2017-10-01	-0,15	49,83	2,58	6,68	0,59
2017-11-01	0,59	51,56	2,54	6,40	0,09
2017-12-01	0,09	56,65	2,59	6,20	0,15
2018-01-01	0,15	57,94	2,71	6,37	0,46
2018-02-01	0,46	63,67	2,94	6,77	0,04
2018-03-01	0,04	62,17	2,99	7,04	0,20
2018-04-01	0,20	62,76	3,08	7,08	0,32
2018-05-01	0,32	66,32	3,10	7,33	0,28
2018-06-01	0,28	69,98	3,08	7,31	0,10
2018-07-01	0,10	67,52	3,21	7,22	0,35
2018-08-01	0,35	70,84	3,18	6,91	0,17
2018-09-01	0,17	67,99	3,08	7,00	0,34
2018-10-01	0,34	70,21	3,10	6,98	0,37
2018-11-01	0,37	70,75	3,09	6,70	-0,01
2018-12-01	-0,01	56,67	3,15	6,51	-0,10
2019-01-01	-0,10	48,95	2,83	6,83	0,11
2019-02-01	0,11	51,52	2,74	7,01	0,05
2019-03-01	0,05	54,95	2,73	7,38	0,47
2019-04-01	0,47	58,15	2,82	6,99	0,26
2019-05-01	0,26	63,87	2,81	7,38	0,60
2019-06-01	0,60	60,84	2,76	7,51	0,05
2019-07-01	0,05	54,68	2,69	7,85	0,22
2019-08-01	0,22	57,52	2,85	7,72	0,19
2019-09-01	0,19	54,84	2,93	7,47	0,01
2019-10-01	0,01	56,95	2,92	7,41	0,81
2019-11-01	0,81	53,98	2,73	7,31	0,08
2019-12-01	0,08	57,06	2,66	7,15	0,10
2020-01-01	0,10	59,80	2,69	7,13	0,57
2020-02-01	0,57	57,52	2,59	7,03	0,45
2020-03-01	0,45	50,53	2,61	7,24	0,33
2020-04-01	0,33	29,88	2,60	7,10	-0,04
2020-05-01	-0,04	16,52	2,66	7,23	-0,05
2020-06-01	-0,05	28,56	2,75	7,25	-0,07
2020-07-01	-0,07	38,30	2,74	7,55	0,10
2020-08-01	0,10	40,75	2,58	7,57	0,13
2020-09-01	0,13	42,36	2,35	7,34	0,64
2020-10-01	0,64	39,60	2,29	7,14	0,69
2020-11-01	0,69	39,53	2,37	6,96	-0,14
2020-12-01	-0,14	41,10	2,60	7,06	0,34
2021-01-01	0,34	47,05	2,88	7,44	0,70
2021-02-01	0,70	52,10	2,95	7,81	0,19
2021-03-01	0,19	59,06	3,04	8,23	0,38
2021-04-01	0,38	62,35	3,04	9,00	0,38
2021-05-01	0,38	61,71	3,20	11,21	0,27
2021-06-01	0,27	65,18	3,52	12,22	0,08
2021-07-01	0,08	71,38	3,62	13,09	0,81
2021-08-01	0,81	72,46	3,84	12,91	0,36
2021-09-01	0,36	67,73	4,08	12,35	1,18
2021-10-01	1,18	71,56	4,23	11,58	1,34
2021-11-01	1,34	81,32	4,62	10,76	0,50
2021-12-01	0,50	79,18	4,36	10,29	0,78
2022-01-01	0,78	71,53	4,28	10,23	1,20
2022-02-01	1,20	83,12	4,24	10,30	0,29
2022-03-01	0,29	91,74	4,23	10,35	1,85
2022-04-01	1,85	108,49	4,44	10,24	1,40
2022-05-01	1,40	101,78	4,43	10,04	1,20
2022-06-01	1,20	109,60	4,33	9,50	0,93
2022-07-01	0,93	114,59	4,43	8,93	1,37
2022-08-01	1,37	99,85	4,51	8,55	1,21
2022-09-01	1,21	91,57	4,64	8,41	0,86
2022-10-01	0,86	83,87	4,62	8,08	0,52
2022-11-01	0,52	87,26	4,25	7,53	0,98
2022-12-01	0,98	84,78	4,10	7,19	3,28
